customer_id,effective_date,status
C01,2024-01-01,trial
C02,2024-01-01,trial
C02,2025-02-15,active
C03,2024-01-01,trial
C03,2025-01-10,active
C03,2025-04-01,at_risk
C04,2024-06-01,active
C05,2024-01-01,active
C05,2025-03-01,churned
C05,2025-05-01,reactivated
C06,2024-03-01,trial
C06,2024-09-01,active
C07,2024-01-01,at_risk
C08,2024-02-01,active
C08,2025-03-15,at_risk
C09,2024-01-01,churned
C10,2024-04-01,active
C11,2024-05-01,trial
C11,2024-12-01,active
C11,2025-05-20,churned
C12,2024-06-01,trial
C13,2024-01-01,active
C14,2024-02-01,at_risk
C15,2024-03-01,active
