order_id,customer_id,order_date,as_of_status,current_status,diverges,order_revenue
O001,C01,2024-12-01,trial,trial,False,94.0
O002,C01,2025-02-10,trial,trial,False,119.5
O003,C01,2025-05-01,trial,trial,False,198.0
O004,C02,2024-12-01,trial,active,True,77.5
O005,C02,2025-01-20,trial,active,True,142.0
O006,C02,2025-03-10,active,active,False,75.5
O007,C02,2025-05-01,active,active,False,86.0
O008,C03,2024-12-15,trial,at_risk,True,113.5
O009,C03,2025-02-01,active,at_risk,True,190.0
O010,C03,2025-04-15,at_risk,at_risk,False,71.5
O011,C03,2025-06-01,at_risk,at_risk,False,134.0
O012,C04,2024-12-05,active,active,False,69.5
O013,C04,2025-04-01,active,active,False,78.0
O014,C05,2024-12-01,active,reactivated,True,107.5
O015,C05,2025-03-15,churned,reactivated,True,182.0
O016,C05,2025-05-10,reactivated,reactivated,False,65.5
O017,C06,2024-12-01,active,active,False,126.0
O018,C06,2025-02-01,active,active,False,143.5
O019,C06,2025-05-15,active,active,False,70.0
O020,C07,2024-12-10,at_risk,at_risk,False,101.5
O021,C07,2025-03-01,at_risk,at_risk,False,174.0
O022,C08,2024-11-10,active,at_risk,True,59.5
O023,C08,2025-02-01,active,at_risk,True,118.0
O024,C08,2025-04-01,at_risk,at_risk,False,137.5
O025,C09,2025-01-15,churned,churned,False,62.0
O026,C10,2024-12-20,active,active,False,95.5
O027,C10,2025-03-05,active,active,False,166.0
O028,C10,2025-06-01,active,active,False,53.5
O029,C11,2024-11-15,trial,churned,True,110.0
O030,C11,2025-01-05,active,churned,True,131.5
O031,C11,2025-06-10,churned,churned,False,54.0
O032,C12,2024-05-01,UNKNOWN_NO_HISTORY_YET,trial,True,89.5
O033,C12,2025-01-10,trial,trial,False,158.0
O034,C13,2024-12-01,active,active,False,47.5
O035,C13,2025-04-20,active,active,False,102.0
O036,C14,2024-12-15,at_risk,at_risk,False,125.5
O037,C14,2025-05-01,at_risk,at_risk,False,46.0
O038,C15,2024-12-10,active,active,False,83.5
O039,C15,2025-03-20,active,active,False,150.0
