order_id,customer_id,order_date,resolved_status,revenue
O001,C01,2024-12-01,trial,94.0
O002,C01,2025-02-10,trial,119.5
O003,C01,2025-05-01,trial,198.0
O004,C02,2024-12-01,trial,77.5
O005,C02,2025-01-20,trial,142.0
O006,C02,2025-03-10,active,75.5
O007,C02,2025-05-01,active,86.0
O008,C03,2024-12-15,trial,113.5
O009,C03,2025-02-01,active,190.0
O010,C03,2025-04-15,at_risk,71.5
O011,C03,2025-06-01,at_risk,134.0
O012,C04,2024-12-05,active,69.5
O013,C04,2025-04-01,active,78.0
O014,C05,2024-12-01,active,107.5
O015,C05,2025-03-15,churned,182.0
O016,C05,2025-05-10,reactivated,65.5
O017,C06,2024-12-01,active,126.0
O018,C06,2025-02-01,active,143.5
O019,C06,2025-05-15,active,70.0
O020,C07,2024-12-10,at_risk,101.5
O021,C07,2025-03-01,at_risk,174.0
O022,C08,2024-11-10,active,59.5
O023,C08,2025-02-01,active,118.0
O024,C08,2025-04-01,at_risk,137.5
O025,C09,2025-01-15,churned,62.0
O026,C10,2024-12-20,active,95.5
O027,C10,2025-03-05,active,166.0
O028,C10,2025-06-01,active,53.5
O029,C11,2024-11-15,trial,110.0
O030,C11,2025-01-05,active,131.5
O031,C11,2025-06-10,churned,54.0
O032,C12,2024-05-01,,89.5
O033,C12,2025-01-10,trial,158.0
O034,C13,2024-12-01,active,47.5
O035,C13,2025-04-20,active,102.0
O036,C14,2024-12-15,at_risk,125.5
O037,C14,2025-05-01,at_risk,46.0
O038,C15,2024-12-10,active,83.5
O039,C15,2025-03-20,active,150.0
