order_id,status,revenue
O001,trial,94.0
O002,trial,119.5
O003,trial,198.0
O004,trial,77.5
O005,trial,142.0
O006,active,75.5
O007,active,86.0
O008,trial,113.5
O009,active,190.0
O010,at_risk,71.5
O011,at_risk,134.0
O012,active,69.5
O013,active,78.0
O014,active,107.5
O015,churned,182.0
O016,reactivated,65.5
O017,active,126.0
O018,active,143.5
O019,active,70.0
O020,at_risk,101.5
O021,at_risk,174.0
O022,active,59.5
O023,active,118.0
O024,at_risk,137.5
O025,churned,62.0
O026,active,95.5
O027,active,166.0
O028,active,53.5
O029,trial,110.0
O030,active,131.5
O031,churned,54.0
O032,,89.5
O033,trial,158.0
O034,active,47.5
O035,active,102.0
O036,at_risk,125.5
O037,at_risk,46.0
O038,active,83.5
O039,active,150.0
