order_line_id,order_id,sku,quantity,unit_price
L0001,O001,WIDGET-B,4,23.5
L0002,O002,GADGET-C,1,36.5
L0003,O002,PART-D,2,41.5
L0004,O003,PART-D,4,49.5
L0005,O004,KIT-E,1,22.5
L0006,O004,WIDGET-A,2,27.5
L0007,O005,WIDGET-A,4,35.5
L0008,O006,WIDGET-B,1,48.5
L0009,O006,GADGET-C,2,13.5
L0010,O007,GADGET-C,4,21.5
L0011,O008,PART-D,1,34.5
L0012,O008,KIT-E,2,39.5
L0013,O009,KIT-E,4,47.5
L0014,O010,WIDGET-A,1,20.5
L0015,O010,WIDGET-B,2,25.5
L0016,O011,WIDGET-B,4,33.5
L0017,O012,GADGET-C,1,46.5
L0018,O012,PART-D,2,11.5
L0019,O013,PART-D,4,19.5
L0020,O014,KIT-E,1,32.5
L0021,O014,WIDGET-A,2,37.5
L0022,O015,WIDGET-A,4,45.5
L0023,O016,WIDGET-B,1,18.5
L0024,O016,GADGET-C,2,23.5
L0025,O017,GADGET-C,4,31.5
L0026,O018,PART-D,1,44.5
L0027,O018,KIT-E,2,49.5
L0028,O019,KIT-E,4,17.5
L0029,O020,WIDGET-A,1,30.5
L0030,O020,WIDGET-B,2,35.5
L0031,O021,WIDGET-B,4,43.5
L0032,O022,GADGET-C,1,16.5
L0033,O022,PART-D,2,21.5
L0034,O023,PART-D,4,29.5
L0035,O024,KIT-E,1,42.5
L0036,O024,WIDGET-A,2,47.5
L0037,O025,WIDGET-A,4,15.5
L0038,O026,WIDGET-B,1,28.5
L0039,O026,GADGET-C,2,33.5
L0040,O027,GADGET-C,4,41.5
L0041,O028,PART-D,1,14.5
L0042,O028,KIT-E,2,19.5
L0043,O029,KIT-E,4,27.5
L0044,O030,WIDGET-A,1,40.5
L0045,O030,WIDGET-B,2,45.5
L0046,O031,WIDGET-B,4,13.5
L0047,O032,GADGET-C,1,26.5
L0048,O032,PART-D,2,31.5
L0049,O033,PART-D,4,39.5
L0050,O034,KIT-E,1,12.5
L0051,O034,WIDGET-A,2,17.5
L0052,O035,WIDGET-A,4,25.5
L0053,O036,WIDGET-B,1,38.5
L0054,O036,GADGET-C,2,43.5
L0055,O037,GADGET-C,4,11.5
L0056,O038,PART-D,1,24.5
L0057,O038,KIT-E,2,29.5
L0058,O039,KIT-E,4,37.5
