order_id,customer_id,order_date
O001,C01,2024-12-01
O002,C01,2025-02-10
O003,C01,2025-05-01
O004,C02,2024-12-01
O005,C02,2025-01-20
O006,C02,2025-03-10
O007,C02,2025-05-01
O008,C03,2024-12-15
O009,C03,2025-02-01
O010,C03,2025-04-15
O011,C03,2025-06-01
O012,C04,2024-12-05
O013,C04,2025-04-01
O014,C05,2024-12-01
O015,C05,2025-03-15
O016,C05,2025-05-10
O017,C06,2024-12-01
O018,C06,2025-02-01
O019,C06,2025-05-15
O020,C07,2024-12-10
O021,C07,2025-03-01
O022,C08,2024-11-10
O023,C08,2025-02-01
O024,C08,2025-04-01
O025,C09,2025-01-15
O026,C10,2024-12-20
O027,C10,2025-03-05
O028,C10,2025-06-01
O029,C11,2024-11-15
O030,C11,2025-01-05
O031,C11,2025-06-10
O032,C12,2024-05-01
O033,C12,2025-01-10
O034,C13,2024-12-01
O035,C13,2025-04-20
O036,C14,2024-12-15
O037,C14,2025-05-01
O038,C15,2024-12-10
O039,C15,2025-03-20
